,shop,phone,location
1291,로또명당,,서울 성동구 용답동 54-18 1층
1292,금광복권방,,서울 마포구 중동 238 1층
1293,수정슈퍼,,서울 동대문구 전농동 2-42
1294,포시즌,,서울 도봉구 쌍문제2동 20 1층 (쌍문동 벽산송화)
1295,하니 행운 호떡,,서울 중구 중림동 129-15
1296,로또천국,,서울 노원구 중계2.3동 512 1층 106호
1297,코사마트,02-598-1533,서울 서초구 서초1동 1440-1 국제빌딩 부근 외환은행 옆 코사마트
1298,오케이(ok)로또,02-715-1511,서울 용산구 원효로제1동 24-21 101동 102호
1299,레피드복권,,서울 강서구 방화제2동 580-11
1300,제기우리로또,,서울 동대문구 제기동 887-132
1305,25편의점,031-764-1223,경기 광주시 오포읍 문형리 430-4 25편의점
1306,광교로또,,경기 수원시 영통구 이의동 1349 118호
1307,보성종합상사,031-466-2979,경기 안양시 만안구 안양동 622-41
1308,SK행운편의점,031-374-4233,경기 오산시 수청동 619-5 베네치아B동 103호
1309,백암복권,031-338-6251,경기 용인시 처인구 백암면 백암리 367 옆호수
1310,대호상사,031-781-2526,경기 성남시 분당구 야탑동 355-1 GS25
1311,분당점로또판매,070-4136-3809,경기 성남시 분당구 판교동 621-2번지 한솔프라자104호
1312,나눔이매로또,031-706-5440,경기 성남시 분당구 이매동 120-7번지 구두28호점
1313,단대대박복권방,031-732-4714,경기 성남시 중원구 금광동 11번지
1314,해뜰날로또복권방,031-755-0708,경기 성남시 중원구 하대원동 132-5
1315,명당골복권방,031-235-4223,경기 수원시 권선구 권선동 1295-3 104호
1316,로또삼성복권방,031-214-8249,경기 수원시 영통구 원천동 550-1 원천훼미리타운105호
1317,나눔로또정거장,031-241-3544,경기 수원시 장안구 정자동 73-10 1층108호
1318,대박로또판매점,031-297-7577,경기 수원시 장안구 율전동 291
1319,기쁘다복권방,031-253-2345,경기 수원시 장안구 송죽동 497-15
1320,목감매표소,031-483-3515,경기 시흥시 목감동 202-22
1321,로또명당,,경기 시흥시 장현동 170-2 002호
1322,부현제일명당,031-499-7037,경기 시흥시 정왕동 1558-11번지 102호
1323,로또복권방,031-430-5454,경기 시흥시 정왕1동 1367-1 19동 122호
1324,아주명당복권방,031-507-7645,경기 시흥시 정왕동 1394번지 아주아파트상가104호
1325,둘리복권방,031-319-3653,경기 시흥시 정왕동 1736-3번지 한강프라자제1층101호
1326,버스표가판대,031-385-6545,경기 안양시 동안구 비산동 1101-4번지
1327,네잎크로바,031-479-4967,경기 안양시 동안구 호계1동 555-9번지
1328,으뜸할인마트,,경기 안양시 동안구 관양1동 1380-2 27
1329,안양체육사,031-477-1929,경기 안양시 동안구 호계동 924-9번지
1330,대박복권방,031-444-9802,경기 안양시 동안구 평촌동 126-1 두산벤처다임 앞 가판대
1331,샘내 편의점,,경기 양주시 양주1동 333-13
1332,흥부대박,031-858-4916,경기 양주시 덕정동 172-4 101호
1333,행운복권방,031-771-0676,경기 양평군 용문면 다문리 731-6 1층
1334,우리로또복권,031-835-9019,경기 연천군 청산면 초성리 439-18번지
1335,열두보석복권방,031-274-1916,경기 용인시 기흥구 구갈동 351 구갈스포츠센터106호
1336,일등복권방,,경기 의정부시 송산1동 266-10
1337,세이브마트,031-847-2480,"경기 의정부시 금오동 453-2,3번지"
1338,로또복권방,031-879-1220,경기 의정부시 호원동 454-13번지
1339,로또복권판매점,031-851-3737,경기 의정부시 민락동 705-2번지 태원프라자103
1340,으뜸복권방,,경기 의정부시 송산2동 732-1 105호
1341,로또대박,,경기 의정부시 가능1동 160 가-72호
1342,로또복권,031-875-0991,경기 의정부시 장암동 20-9번지
1343,미니슈퍼,031-842-5078,경기 의정부시 신곡동 447-14번지
1344,복권방,031-846-2223,경기 의정부시 신곡동 680-6번지
1345,행운복권방,031-851-1764,경기 의정부시 용현동 14번지
1346,서울로또,031-871-9371,경기 의정부시 호원2동 313-4
1347,대박로또,,경기 의정부시 흥선동 578-47
1348,로또복권,031-878-7578,경기 의정부시 가능동 646-17
1349,로또복권방,,경기 의정부시 자금동 403-18
1350,잘찍어로또방,031-683-0708,경기 평택시 안중읍 안중리 272-5
1351,로또복권방,031-665-9212,경기 평택시 993번지
1352,왕대박,031-691-3341,경기 평택시 팽성읍 안정리 148-32 1층 우측
1353,로또복권,031-655-9351,경기 평택시 평택동 55-8 보광당금은방
1354,복권나라,031-541-1423,경기 포천시 소흘읍 이가팔리 309-1번지
1355,파크애비뉴,070-8249-0823,경기 화성시 반송동 47-3 102호
1356,파란만장복권방,031-224-1696,경기 화성시 진안동 878-4 101호
1357,올인(allin),031-353-5311,경기 화성시 향남읍 장짐리 273-3
1358,하라소,031-916-7276,경기 고양시 일산서구 대화동 2239번지 1층113
1359,백마사거리로또판매점,,경기 고양시 일산동구 마두동 730-5 1층 104호
1360,이마트24백석동문점,031-903-7863,경기 고양시 일산동구 1321 203동1층 101호
1361,로또판매점,031-908-7968,경기 고양시 일산동구 장항동 752 102-2
1362,땡큐25(철산점),02-2625-6770,경기 광명시 철산동 264번지 로데오빌딩103호
1363,로또복권,,경기 광명시 하안동 260-2번지 8단지종합상가공유지
1364,맛딱치킨,031-393-6161,경기 군포시 산본동 1055 108호
1365,복권방,031-857-4146,경기 동두천시 생연동 713-1번지
1366,다우복권방,031-861-3223,경기 동두천시 생연동 689-45번지
1367,성명전력,031-866-3733,경기 동두천시 생연동 696-3번지
1368,세븐일레븐 부천소사대로점,032-347-0456,경기 부천시 부천동 88-13 씨유
1369,황금대박복권나라,031-335-2740,경기 용인시 처인구 김량장동 133-200번지
1370,운수대통,031-498-1477,경기 시흥시 신천동 888-1번지 101호
1371,1등 복권,031-494-1070,경기 시흥시 배곧동 2476-2 105호
1372,쿠아안경원,031-492-8008,경기 안산시 단원구 신길동 1447번지 휴먼빌2차아파트상가102호
1373,챤스복권,031-273-1076,경기 수원시 영통구 망포동 542-11 중앙프라자1층4호
1374,노다지복권방,031-744-4010,경기 성남시 수정구 창곡동 564 근린생활시설 제3동 1층 제5비 119호
1375,태양정보통신,031-764-2133,경기 광주시 중대동 17-12 상가1층
1376,노다지복권방,031-314-1016,경기 시흥시 대야동 345-16번지 1층상가
1377,노다지복권방,031-486-3085,경기 안산시 단원구 고잔동 727-4번지 씨티프라자103호
1378,시화트윈로또판매점,031-497-3885,경기 시흥시 정왕동 1861-8번지 트윈프라자B131 132호
1379,로또명당,031-497-8506,경기 시흥시 정왕1동 1575-12번지 101호
1380,로또(파발마점),031-432-5006,경기 시흥시 정왕동 2302번지 역전프라자105호
1381,행복정보통신,031-834-3045,경기 연천군 연천읍 차탄리 34-16번지
1382,행운,031-275-4014,경기 용인시 기흥구 언남동 336-7
1383,마실더그린테이블,070-4120-1991,경기 용인시 기흥구 동백동 614-5 101호 마실
1384,구갈대박로또방,031-282-9988,경기 용인시 기흥구 구갈동 345-9 101호
1385,황금 슈퍼,031-274-1818,경기 용인시 기흥구 상하동 483-1 어정프라자 103호
1386,로또휴게실,031-286-3442,경기 용인시 기흥구 상갈동 378-1
1387,대영광고,031-261-9565,경기 용인시 수지구 동천동 180-12번지
1388,희망을주는사람,031-338-5933,경기 용인시 처인구 양지면 제일리 474-3번지
1389,로또복권방,031-323-1385,경기 용인시 처인구 김량장동 162-4
1390,수지맞은집,031-284-0748,"경기 용인시 기흥구 공세동 260-1 기흥휴게소, 부산방향 쇼핑몰2층"
1391,광성슈퍼,031-633-5829,경기 이천시 단월동 509-4
1392,대성미니슈퍼,031-641-2430,경기 이천시 장호원읍 장호원리 112-3
1393,장원급제로또복권방,031-642-7100,경기 이천시 장호원읍 진암리 7-3
1394,행운로또복권방,031-947-0901,경기 파주시 광탄면 신산리 215-20번지
1395,로또나라,,경기 파주시 문발동 495-138번지
1396,로또복권방,031-945-2695,경기 파주시 금촌동 386-4 1층
1397,로또복권방,031-947-5534,경기 파주시 금촌1동 932-1 1층
1398,대박복권방,031-953-8926,경기 파주시 문산읍 문산리 13-7번지
1399,승리복권방,031-959-0243,경기 파주시 적성면 마지리 63-47번지
1400,노다지복권방,031-958-7136,경기 파주시 법원읍 법원리 683-6번지
1401,로또.토토.블루베리,031-683-6542,경기 평택시 안중읍 현화리 854-1 105호
1402,복권명당,,경기 평택시 서정동 1106-4 만민교회 1층
1403,부자되세요복권방,031-668-9669,경기 평택시 진위면 하북리 147-1
1404,럭키디엔씨,031-964-3100,경기 고양시 덕양구 고양동 719 푸른마을3단지상가동106
1405,대박복권,031-915-4873,경기 고양시 일산서구 대화동 2241번지
1406,1등로또방,031-906-8131,경기 고양시 일산동구 1297-2
1407,행운편의점 복권방,031-977-5776,경기 고양시 일산동구 풍산동 421-4
1408,로또판매점,031-902-4561,경기 고양시 일산동구 장항동 759번지 하임빌101호
1409,해피복권방,031-975-1877,경기 고양시 일산동구 성석동 1246-80번지
1410,복권나라,031-311-8934,경기 시흥시 신천동 771-4번지
1411,복권마을,031-311-7625,경기 시흥시 신천동 750-4 101호
1412,도일복권방,031-492-4868,경기 시흥시 거모동 1658-22번지
1413,복권방,032-344-0498,경기 부천시 소사구 괴안동 109-8번지
1414,해피데이복권방,032-343-2063,경기 부천시 소사구 괴안동 40-13번지 1층동향좌측1호
1415,복권나라,031-557-5759,경기 남양주시 다산1동 45-67번지
1416,왕대박복권방,031-593-5572,경기 남양주시 화도읍 마석우리 379-1번지 103호
1417,행운복권,031-795-5536,경기 하남시 풍산동 493 R110호
1418,종합복권나라,031-774-7950,경기 양평군 양평읍 양근리 176-14 1층
1419,복권나라,031-774-8920,경기 양평군 양평읍 양근리 342-2 1층
1420,복권나라,031-251-9332,경기 수원시 장안구 534-4 1층
1421,행운복권방,,경기 수원시 권선구 구운동 493-16 103호
1422,운수대통,031-298-5888,경기 수원시 권선구 호매실동 87-2
1423,경민복권방,031-241-3844,경기 수원시 팔달구 북수동 225
1424,좋은이웃들,031-395-2844,경기 군포시 산본동 82-3
1425,해피마트,031-461-8493,경기 의왕시 삼동 471-67 의왕역로터리앞
1426,운수대통,031-395-4131,경기 군포시 산본동 265-20
1427,복권만당,031-392-0678,경기 군포시 당동 785-8
1428,노다지복권방,031-954-1888,경기 파주시 문산읍 문산리 6-28
1429,복권백화점,031-943-7477,경기 파주시 금촌동 329-135번지
1430,천하명당복권방,031-468-2494,경기 안양시 만안구 안양동 194번지
1431,황금복권방,031-448-0092,경기 안양시 만안구 안양동 598-19번지
1432,그린캐슬,031-407-8939,"경기 안산시 상록구 사이동 1424-8 102호, 103호"
1433,행운슈퍼(복권),031-408-2212,경기 안산시 상록구 본오동 1118-9
1434,복권나라,031-491-1211,경기 안산시 단원구 원곡동 801-4번지
1435,천하명당,031-487-2122,경기 안산시 상록구 월피동 442번지
1436,복권슈퍼,031-492-8434,경기 안산시 단원구 선부동 983-4
1437,주택복권방,031-429-8281,경기 안양시 동안구 호계1동 986-25 77
1438,스타매니아,031-384-0333,경기 안양시 동안구 비산동 1026-14번지
1439,복권세계,031-848-3390,경기 의정부시 의정부동 17-2번지 1층
1440,복권닷컴,031-845-7770,경기 의정부시 의정부동 145-17번지
1441,대명로또편의점,031-863-3172,경기 동두천시 중앙동 657-1
1442,이플러스,031-217-3005,경기 수원시 영통구 153-14
1443,복권천국,032-673-8722,경기 부천시 성곡동 318
1444,씨지랜드,032-325-5151,경기 부천시 상동 412번지 금강리빙스텔111
1445,대부,032-324-5982,경기 부천시 부천동 110-10 1층
1446,행운복권,031-237-1937,경기 수원시 권선구 권선동 1166-4
1447,노다지복권방,031-374-1002,경기 오산시 오산동 371-1번지
1448,명당일세,031-655-2979,경기 평택시 평택동 71-6
1449,노다지복권방서정지점,031-666-2821,경기 평택시 서정동 335-27번지
1450,행복충전소,031-664-1210,경기 평택시 지산동 755-1
1451,미양공단점,070-7793-9748,경기 안성시 미양면 계륵리 271-9번지 102호
1452,명동슈퍼,02-2615-3382,경기 광명시 철산동 426번지
1453,가연이네슈퍼,031-758-3148,경기 성남시 중원구 성남동 3968
1454,플러스,031-721-6808,경기 성남시 중원구 성남동 3164번지
1455,화영하이퍼,031-747-5995,경기 성남시 수정구 단대동 176-4번지
1456,오복슈퍼,031-745-4989,경기 성남시 중원구 금광동 2880번지
1457,엄마손슈퍼(행운복권방),031-752-3733,경기 성남시 수정구 태평동 3307-7번지
1458,다우로또,031-757-9070,경기 성남시 수정구 태평동 3196 1층
1459,한솔마트,031-713-8182,경기 성남시 분당구 정자동 101번지 한솔주공7단지상가내
1460,코코블루,031-709-4895,경기 성남시 분당구 서현동 248-5번지 코코프라자지하2호
1461,싼타슈퍼,031-433-3667,경기 시흥시 정왕동 1212-13
1462,그린하이퍼,070-8187-9177,경기 시흥시 월곶동 1006-4 유호플러스빌105호
1463,아름다운슈퍼,031-491-5987,경기 시흥시 거모동 1753-7
1464,오이도직판장마트,031-431-4454,경기 시흥시 정왕동 2003-8번지 오이도이주단지B
1465,25시슈퍼,031-432-6273,경기 시흥시 정왕동 1882-11번지 홍익프라자1층107호
1466,메가마트,031-498-7224,경기 시흥시 정왕동 1861-3번지 메가쇼핑몰1층123호
1467,돼지네슈퍼,032-347-5889,경기 부천시 소사구 소사본동 231-4번지
1468,태봉,032-346-6021,경기 부천시 소사구 소사본동 184-7번지
1469,마리오슈퍼,032-667-5368,경기 부천시 상동 535-1 1층 118호
1470,코사마트춘성점,032-664-6649,경기 부천시 소사구 송내동 374번지 호암프라자104호
1471,경춘마트,031-592-7742,경기 남양주시 금곡동 154-9번지
1472,스카이25,031-566-3761,경기 남양주시 도농동 296-2번지
1473,캠프코리아/유마트,031-577-1539,경기 남양주시 와부읍 덕소리 193-9번지 새루상가10호
1474,24시편의점,031-591-0449,경기 남양주시 평내동 121-10번지
1475,로또마트,031-794-6668,경기 하남시 풍산동 565 미사강변 아란티움 상가 내
1476,훼밀리슈퍼,031-556-4784,경기 구리시 인창동 672-4번지 세신훼밀리타운102
1477,세븐일레븐 구리으뜸점,031-562-2500,경기 구리시 교문1동 227-21
1478,세븐일레븐구리한성점,031-565-0470,경기 구리시 교문동 766-1번지 한성1차아파트상가102호
1479,오에스티(O.S.T),031-566-1894,경기 구리시 수택동 383-10번지
1480,주공슈퍼,031-902-7611,경기 고양시 일산동구 백석동 1343번지 주공아파트단지상가
1481,이전유통,031-905-8288,경기 고양시 일산동구 백석동 1418-9번지 1층
1482,현대화체인점,031-255-2956,경기 수원시 장안구 정자동 46-2
1483,선일복권방,031-251-0400,경기 수원시 팔달구 화서동 71-13
1484,계경슈퍼,031-245-5969,경기 수원시 장안구 영화동 422-43
1485,월드컵,031-256-6883,경기 수원시 팔달구 우만동 519-3
1486,매향슈퍼,031-258-3338,경기 수원시 팔달구 남수동 16-19
1487,흥일슈퍼,031-975-2858,경기 고양시 일산서구 일산동 640-28번지
1488,이전유통(탄현역),031-924-4965,경기 고양시 일산서구 덕이동 274-16번지
1489,두배로마트덕이점,031-919-7031,경기 고양시 일산서구 덕이동 992-1번지 삼호빌딩1층
1490,나눔로또 스포츠토토(김포장기점),031-987-7089,경기 김포시 장기동 1399 1층 110호
1491,차부상회,031-988-0204,경기 김포시 통진읍 서암리 717-6번지
1492,대광슈퍼,031-391-6647,경기 군포시 산본동 1061-3 미성프라자106호
1493,명진슈퍼,031-452-8813,경기 의왕시 고천동 295-26
1494,J마트,031-468-7373,경기 안양시 만안구 안양동 504-22
1495,김포마트로또방,031-409-6069,경기 안산시 상록구 본오동 923-2
1496,각골할인마트,031-501-4420,경기 안산시 상록구 본오동 829-9번지
1497,로또복권판매점,031-406-2244,경기 안산시 상록구 일동 90번지
1498,여우와솜사탕,031-406-8969,경기 안산시 상록구 부곡동 692-3번지
1499,센타슈퍼,031-409-7971,경기 안산시 상록구 이동 715-4 센타프라자115호
1500,고층슈퍼,031-482-5111,경기 안산시 상록구 성포동 588-2 주공상가105호
1501,터미널유통마트,031-877-9282,경기 의정부시 신곡동 719-4번지 우신프라자1층101호
1502,터미널식품,031-845-3983,경기 의정부시 금오동 369-5번지
1503,역전슈퍼,031-876-5617,경기 의정부시 의정부동 407-7번지
1504,씨스페이스의정부신곡점,,경기 의정부시 신곡1동 597-110
1505,금성24시편의점,031-858-0859,경기 양주시 덕정동 350-86
1506,복권세상,031-873-7761,경기 의정부시 호원2동 366-25
1507,매탄동슈퍼,031-211-2966,경기 수원시 영통구 매탄동 111-1
1508,미니슈퍼,031-273-4242,경기 수원시 영통구 영통동 1024-7 영통빌딩108호
1509,한아름복권방(매탄점),031-238-4791,경기 수원시 영통구 매탄동 1174
1510,행복미니슈퍼,032-654-6510,경기 부천시 원미구 심곡동 351-3번지
1511,한국슈퍼,032-682-2902,경기 부천시 오정구 원종동 228번지 한울빌리지 상가101호
1512,풍전슈퍼,032-664-8909,경기 부천시 원미구 원미동 55-1번지
1513,장군슈퍼,032-672-5256,경기 부천시 오정동 70-8번지
1514,디딤슈퍼,032-675-6098,경기 부천시 원미구 도당동 164-20번지
1515,성진마트,032-678-3224,경기 부천시 오정구 내동 150번지
1516,후레쉬슈퍼,032-654-3551,경기 부천시 심곡동 120-22 101호
1517,코사마트,032-683-8870,경기 부천시 오정구 내동 99-2번지
1518,도담복권,032-675-9695,경기 부천시 성곡동 480-9 1층
1519,역곡중앙슈퍼,032-343-4990,경기 부천시 원미구 역곡동 79-5번지
1520,쌍굴다리슈퍼,,경기 부천시 원미구 춘의동 210-1번지
1521,L-마트,032-621-1140,경기 부천시 오정구 삼정동 364번지 부천테크노파크100-103
1522,예스마트중동점,032-653-5809,경기 부천시 원미구 중동 726번지
1523,터미널편의점1층,031-267-7744,경기 수원시 권선구 권선동 1189 수원복합터미널1301호
1524,안성맞춤,031-675-2266,경기 안성시 금산동 47
1525,포유25다농점,031-375-2468,경기 오산시 오산동 924-1번지 거성그린프라자114호
1526,복권판매,031-735-3006,경기 성남시 중원구 성남동 2612
1527,OK편의점,031-635-0355,경기 이천시 중리동 201
1528,프리웨이스토어,031-763-5369,경기 광주시 장지동 533번지 1층
1529,로또복권 씨유 신구대점,031-742-0665,경기 성남시 중원구 금광동 2401번지
1530,코사마트 후곡점,031-976-3940,"경기 고양시 일산서구 일산동 1101 105,106호"
1531,현대25시편의점,031-970-0377,경기 고양시 덕양구 토당동 373-1번지 101호
1532,복권방,031-972-5078,경기 고양시 덕양구 동산동 373 1층
1533,원흥로또 앤 픽미아이스,031-968-3441,경기 고양시 덕양구 흥도동 629-1
1534,굳프렌즈일산현대-24시편의점,031-977-3905,경기 고양시 일산서구 일산동 586-16번지 1층
1535,1004로또점,,경기 고양시 일산동구 중산동 1666-1 104호 미니스톱 내
1536,스카이편의점,031-444-9629,경기 안양시 만안구 박달동 74-5번지
1537,광장편의점,031-829-2989,경기 의정부시 의정부동 487번지
1538,행운복권,031-877-8308,경기 의정부시 호원1동 428 상가동 110호
1539,부부마트,032-673-0944,경기 부천시 오정구 내동 373번지 장미빌라상가103
1540,플러스원(복권방),031-374-3157,경기 오산시 대원동 762-34번지
1541,가판대,031-735-5098,경기 성남시 수정구 양지동 211
1542,3번출구가판점,031-722-4638,경기 성남시 수정구 수진동 2965번지
1543,애리지,031-781-4557,경기 성남시 분당구 야탑1동 353-1
1544,버스가판대,031-758-1576,경기 성남시 중원구 성남동 3495번지
1545,농협가판,031-758-9535,경기 성남시 수정구 수진동 18
1546,가판점,031-735-4422,경기 성남시 수정구 신흥동 4186번지
1547,국민가판점,031-731-8977,경기 성남시 수정구 신흥동 2480번지
1548,가두판매 단대오거리점,031-747-4951,경기 성남시 중원구 중앙동 2460-1번지
1549,태평가판점,031-754-9764,경기 성남시 수정구 태평동 6454번지
1550,태평고개 가판대,031-752-7335,경기 성남시 수정구 태평동 5211
1551,가판점,031-751-7429,경기 성남시 수정구 신흥동 5505
1552,구시청가판점,031-754-3336,경기 성남시 수정구 태평동 7288-16번지
1553,태평매표소,031-282-4864,경기 용인시 기흥구 신갈동 464-17번지
1554,신천가판점,031-311-6585,경기 시흥시 신천동 712-10번지
1555,사격장매표소,031-313-3381,경기 시흥시 은행동 37-22
1556,신문가판,032-662-6377,경기 부천시 심곡본동 746-27번지
1557,가판점,032-663-9602,경기 부천시 대산동 543 이마트앞 지하도입구
1558,역곡역전로또,032-344-8851,경기 부천시 괴안동 114-5 가판대
1559,금곡가판,031-592-7280,경기 남양주시 금곡동 153-1
1560,토큰박스,031-573-8634,경기 남양주시 진건읍 용정리 743-6번지
1561,토큰박스,031-563-2643,경기 구리시 수택동 370-6 kt 앞 가판
1562,주엽역 로또판매점,031-914-8980,경기 고양시 일산서구 주엽동 109 도로
1563,버스표판매소,031-978-1143,경기 고양시 덕양구 행신동 973 971번지선
1564,대박복권판매점,031-972-4890,경기 고양시 덕양구 행신2동 707-3 107호
1565,마두역상행선 가판대,031-907-2207,경기 고양시 일산동구 장항동 893 마두역상행선가판대
1566,교통카드충전소,031-978-0261,경기 고양시 덕양구 화정동 1098번지 화정역 2번출구
1567,일주일행복로또(파장매표소),031-253-7410,경기 수원시 장안구 파장동 572-39
1568,수일매표소,031-242-7196,경기 수원시 장안구 송죽동 445-1
1569,서문복권판매소,031-247-1161,경기 수원시 팔달구 화서동 32-11 도로
1570,로또명당매표소,031-212-3673,경기 수원시 팔달구 우만동 85-1
1571,버스표가두판매점,031-215-6313,경기 수원시 팔달구 우만동 146-2번지
1572,복권판매소,031-243-2150,"경기 수원시 팔달구 우만동 300 우만3,4단지앞"
1573,황금로또방(북문전화국앞),031-246-2520,경기 수원시 장안구 영화동 305-5
1574,화정동롯데마트앞가판점,031-978-3158,경기 고양시 덕양구 화정동 982번지 롯데마트앞가판점
1575,가판점,031-451-2293,경기 군포시 당동 835-60
1576,가판점,031-455-1574,경기 군포시 당동 745-9 전면보도
1577,시내버스가판점,031-423-8566,경기 안양시 동안구 관양동 1459-5번지
1578,버스표가판점,031-388-6327,경기 안양시 동안구 관양1동 1384-25번지
1579,인덕원가판점,031-423-3332,경기 안양시 동안구 관양동 1488-5
1580,가두판매점,031-442-8350,경기 안양시 만안구 안양동 689-180번지
1581,로또명당가두판매점,031-388-4427,경기 안양시 동안구 비산동 1144번지
1582,버스가판점,031-468-8497,경기 안양시 만안구 안양동 517-14 517-15번지 공터와 겹침
1583,버스표가판점,031-384-2165,경기 안양시 동안구 호계동 1039-2번지
1584,버스가판점,031-466-8414,경기 안양시 만안구 안양동 164-1 진흥아파트앞 버스정류장
1585,시내버스가판점,031-466-0309,경기 안양시 만안구 안양동 836-18
1586,버스표가판점,031-448-9615,경기 안양시 만안구 안양동 847-16번지
1587,버스표가판점,031-421-6455,경기 안양시 동안구 관양동 1507-23번지
1588,교보생명가두판매점,031-443-9930,경기 안양시 만안구 안양동 695-207번지
1589,버스표판매소,031-845-1816,경기 의정부시 의정부동 222-1번지
1590,복권,031-844-4464,경기 의정부시 의정부1동 148-10
1591,복권,031-844-5006,경기 의정부시 의정부동 177-9
1592,버스표판매소,031-221-8727,경기 수원시 팔달구 인계동 1125-2 벽산그랜드코아아파트앞
1593,매표소,031-247-7932,경기 수원시 팔달구 팔달로2가 67-3
1594,신나무실매표소,031-205-0240,경기 수원시 영통구 영통동 965-2 신원미주아파트앞가판
1595,영통매표소,031-202-3010,경기 수원시 영통구 영통동 1048-2 청명역3번출구 매표소
1596,가두판매점,031-205-2660,경기 수원시 영통구 영통동 976-11 망포역8번출구 앞
1597,남문가판점,031-252-6705,경기 수원시 팔달구 행궁동 24-9
1598,행복한나그네매표소,032-325-8826,경기 부천시 중동 1054 경기 부천시 중동 1054-1
1599,가판대,032-665-9655,경기 부천시 원미구 상동 318-5번지
1600,매표소,032-681-0447,경기 부천시 부천동 255-2번지 도로부지
1601,버스매표소,032-656-6778,경기 부천시 원미구 심곡동 78-1번지
1602,가판점,032-663-0945,경기 부천시 심곡동 176-13번지 국민은행버스정류장 옆 가판
1603,로또세계주류,02-2066-3561,경기 광명시 철산4동 464-7
1604,해피데이,031-735-9038,경기 성남시 중원구 중앙동 2009-1번지
1605,으뜸과버금신흥점,031-753-5882,경기 성남시 수정구 신흥동 6526번지
1606,죽전열쇠 로또복권방,031-263-1230,경기 용인시 수지구 죽전동 468-5 신흥빌딩101
1607,삼일사,031-746-1304,경기 성남시 중원구 상대원동 2980-19번지
1608,행운복권방,031-404-9060,경기 시흥시 대야동 545-1번지 트윈프라자B동114호
1609,매화정보통신,031-316-1308,경기 시흥시 매화동 199-1번지
1610,드림테크,,경기 부천시 괴안동 28-2번지 기풍빌딩 107호
1611,대박나라베팅숍,032-651-6356,경기 부천시 소사구 송내동 450-8번지
1612,예스복권방,031-575-5883,경기 남양주시 별내동 1016 메인프라자 1층 105호
1613,삐삐문구,031-573-8244,경기 남양주시 진건읍 용정리 794-14번지
1614,디즈니포토랜드,031-511-5417,"경기 남양주시 호평동 612 상가 117호, GS25호평아이파크점"
1615,팬시코아,031-574-9810,경기 남양주시 퇴계원면 퇴계원리 255-24번지
1616,만물전파사,031-593-0362,경기 남양주시 화도읍 마석우리 271-8번지
1617,코니아일랜드아이스크림,031-511-9187,경기 남양주시 화도읍 묵현리 372-47번지 진우로얄빌라제나동102
1618,태원통신,031-794-4318,경기 하남시 덕풍동 309-63번지
1619,재우텔레콤,031-793-8016,경기 하남시 신장동 427-29번지
1620,삼일통신,031-553-1018,경기 구리시 인창동 498-5번지
1621,화인,031-551-3451,경기 구리시 수택동 463-10번지
1622,진칼라,031-553-6433,경기 구리시 교문1동 738-7번지
1623,프로피스,031-552-7776,경기 구리시 교문동 764-14번지
1624,삼성통신,031-552-2201,경기 구리시 수택1동 288번지
1625,ANY로또,031-257-6247,경기 수원시 장안구 조원동 676-12
1626,영화모음,031-268-7667,경기 수원시 장안구 조원동 859-3 뉴타운프라자A-107
1627,진주비디오,031-293-9675,경기 수원시 권선구 서둔동 17-29
1628,바른행정사사무소,031-918-7179,경기 고양시 일산서구 탄현동 1493-6
1629,고려의료기,031-452-0010,경기 군포시 당동 784 1층
1630,대박행진 복권랜드,031-948-6737,경기 파주시 금촌동 989-1번지 금촌프라자107호
1631,GS25문산아침햇살,031-952-2208,경기 파주시 문산읍 문산리 17-55 1층
1632,다니엘사,031-493-2848,경기 안산시 단원구 초지동 796 101호
1633,태흥복권방,,경기 의정부시 흥선동 738-34
1634,스나이퍼,031-852-7900,경기 의정부시 용현동 268-32번지 104호
1635,대박천하,031-873-6787,경기 의정부시 녹양동 146-11번지
1636,이마트24 의정녹양,031-874-5508,경기 의정부시 녹양동 83-60번지
1637,대한통신,031-852-0101,경기 의정부시 자금동 470-5 105호
1638,북클럽,031-851-6614,경기 의정부시 민락동 707-1번지 103호
1639,일등복권방,031-873-4992,경기 의정부시 호원2동 423번지 대명빌딩 1층
1640,웅진,031-231-8095,경기 수원시 팔달구 인계동 1045 동수원홈플러스 1층
1641,큰사랑통신,031-211-0987,경기 수원시 영통구 매탄동 200-21 101호
1642,세민,032-662-2335,경기 부천시 원미구 중동 770-5번지 1층
1643,피아치,032-325-2049,경기 부천시 소사본동 195 1층 CU
1644,카베,032-326-2772,경기 부천시 원미구 상동 455번지 삼원타운1층-120
1645,복권나라,031-377-1589,경기 오산시 오산동 853-19번지
1646,영스타,,경기 평택시 팽성읍 송화리 266-1번지 103호
1647,요술상자,031-652-0777,경기 평택시 비전동 598-4 동일건물내 이전
1648,밀리언 복권방,031-221-1236,경기 수원시 권선구 권선동 965-9
1649,대박찬스,031-761-5729,경기 광주시 경안동 108-46번지 나산상가1층4호
1650,행복한사람들 (흥부네),031-763-7781,경기 광주시 곤지암읍 삼리 399-18번지
1651,복권천하,02-2684-1193,경기 광명시 광명동 374-10번지
1652,인애 복권방,031-862-0627,경기 동두천시 생연동 560-11번지
1653,금성경기마트,031-975-2341,경기 고양시 일산서구 일산동 632번지 1층
