,shop,phone,location,1st,2nd
1315,나눔로또정거장,031-241-3544,경기 수원시 장안구 정자동 73-10 1층108호,,4.0
1316,대박로또판매점,031-297-7577,경기 수원시 장안구 율전동 291,4.0,15.0
1317,기쁘다복권방,031-253-2345,경기 수원시 장안구 송죽동 497-15,,1.0
1318,목감매표소,031-483-3515,경기 시흥시 목감동 202-22,,5.0
1319,로또명당,,경기 시흥시 장현동 170-2 002호,,4.0
1320,부현제일명당,031-499-7037,경기 시흥시 정왕동 1558-11번지 102호,,6.0
1321,로또복권방,031-430-5454,경기 시흥시 정왕1동 1367-1 19동 122호,1.0,4.0
1322,아주명당복권방,031-507-7645,경기 시흥시 정왕동 1394번지 아주아파트상가104호,,6.0
1323,둘리복권방,031-319-3653,경기 시흥시 정왕동 1736-3번지 한강프라자제1층101호,1.0,4.0
1324,버스표가판대,031-385-6545,경기 안양시 동안구 비산동 1101-4번지,,6.0
1325,네잎크로바,031-479-4967,경기 안양시 동안구 호계1동 555-9번지,1.0,5.0
1326,으뜸할인마트,,경기 안양시 동안구 관양1동 1380-2 27,1.0,5.0
1327,안양체육사,031-477-1929,경기 안양시 동안구 호계동 924-9번지,,4.0
1328,대박복권방,031-444-9802,경기 안양시 동안구 평촌동 126-1 두산벤처다임 앞 가판대,1.0,3.0
1329,샘내 편의점,,경기 양주시 양주1동 333-13,,5.0
1330,흥부대박,031-858-4916,경기 양주시 덕정동 172-4 101호,,9.0
1331,행운복권방,031-771-0676,경기 양평군 용문면 다문리 731-6 1층,2.0,15.0
1332,우리로또복권,031-835-9019,경기 연천군 청산면 초성리 439-18번지,1.0,8.0
1333,열두보석복권방,031-274-1916,경기 용인시 기흥구 구갈동 351 구갈스포츠센터106호,4.0,13.0
1334,일등복권방,,경기 의정부시 송산1동 266-10,,
1335,세이브마트,031-847-2480,"경기 의정부시 금오동 453-2,3번지",1.0,5.0
1336,로또복권방,031-879-1220,경기 의정부시 호원동 454-13번지,2.0,3.0
1337,로또복권판매점,031-851-3737,경기 의정부시 민락동 705-2번지 태원프라자103,1.0,2.0
1338,으뜸복권방,,경기 의정부시 송산2동 732-1 105호,,7.0
1339,로또대박,,경기 의정부시 가능1동 160 가-72호,,2.0
1340,로또복권,031-875-0991,경기 의정부시 장암동 20-9번지,1.0,8.0
1341,미니슈퍼,031-842-5078,경기 의정부시 신곡동 447-14번지,1.0,4.0
1342,복권방,031-846-2223,경기 의정부시 신곡동 680-6번지,,4.0
1343,행운복권방,031-851-1764,경기 의정부시 용현동 14번지,4.0,5.0
1344,서울로또,031-871-9371,경기 의정부시 호원2동 313-4,,3.0
1345,대박로또,,경기 의정부시 흥선동 578-47,,2.0
1346,로또복권,031-878-7578,경기 의정부시 가능동 646-17,,1.0
1347,로또복권방,,경기 의정부시 자금동 403-18,,3.0
1348,잘찍어로또방,031-683-0708,경기 평택시 안중읍 안중리 272-5,3.0,3.0
1349,로또복권방,031-665-9212,경기 평택시 993번지,2.0,4.0
1350,왕대박,031-691-3341,경기 평택시 팽성읍 안정리 148-32 1층 우측,3.0,7.0
1351,로또복권,031-655-9351,경기 평택시 평택동 55-8 보광당금은방,1.0,
1352,복권나라,031-541-1423,경기 포천시 소흘읍 이가팔리 309-1번지,2.0,13.0
1353,파크애비뉴,070-8249-0823,경기 화성시 반송동 47-3 102호,1.0,10.0
1354,파란만장복권방,031-224-1696,경기 화성시 진안동 878-4 101호,5.0,30.0
1355,올인(allin),031-353-5311,경기 화성시 향남읍 장짐리 273-3,8.0,42.0
1356,하라소,031-916-7276,경기 고양시 일산서구 대화동 2239번지 1층113,,3.0
1357,백마사거리로또판매점,,경기 고양시 일산동구 마두동 730-5 1층 104호,1.0,9.0
1358,이마트24백석동문점,031-903-7863,경기 고양시 일산동구 1321 203동1층 101호,2.0,5.0
1359,로또판매점,031-908-7968,경기 고양시 일산동구 장항동 752 102-2,2.0,2.0
1360,땡큐25(철산점),02-2625-6770,경기 광명시 철산동 264번지 로데오빌딩103호,1.0,5.0
1361,로또복권,,경기 광명시 하안동 260-2번지 8단지종합상가공유지,1.0,5.0
1362,맛딱치킨,031-393-6161,경기 군포시 산본동 1055 108호,4.0,13.0
1363,복권방,031-857-4146,경기 동두천시 생연동 713-1번지,,1.0
1364,다우복권방,031-861-3223,경기 동두천시 생연동 689-45번지,1.0,4.0
1365,성명전력,031-866-3733,경기 동두천시 생연동 696-3번지,1.0,7.0
1366,세븐일레븐 부천소사대로점,032-347-0456,경기 부천시 부천동 88-13 씨유,,2.0
1367,황금대박복권나라,031-335-2740,경기 용인시 처인구 김량장동 133-200번지,1.0,9.0
1368,운수대통,031-498-1477,경기 시흥시 신천동 888-1번지 101호,1.0,2.0
1369,1등 복권,031-494-1070,경기 시흥시 배곧동 2476-2 105호,,7.0
1370,쿠아안경원,031-492-8008,경기 안산시 단원구 신길동 1447번지 휴먼빌2차아파트상가102호,,3.0
1371,챤스복권,031-273-1076,경기 수원시 영통구 망포동 542-11 중앙프라자1층4호,,2.0
1372,노다지복권방,031-744-4010,경기 성남시 수정구 창곡동 564 근린생활시설 제3동 1층 제5비 119호,,2.0
1373,태양정보통신,031-764-2133,경기 광주시 중대동 17-12 상가1층,1.0,15.0
1374,노다지복권방,031-314-1016,경기 시흥시 대야동 345-16번지 1층상가,4.0,16.0
1375,노다지복권방,031-486-3085,경기 안산시 단원구 고잔동 727-4번지 씨티프라자103호,,3.0
1376,시화트윈로또판매점,031-497-3885,경기 시흥시 정왕동 1861-8번지 트윈프라자B131 132호,,7.0
1377,로또명당,031-497-8506,경기 시흥시 정왕1동 1575-12번지 101호,,1.0
1378,로또(파발마점),031-432-5006,경기 시흥시 정왕동 2302번지 역전프라자105호,6.0,11.0
1379,행복정보통신,031-834-3045,경기 연천군 연천읍 차탄리 34-16번지,1.0,3.0
1380,행운,031-275-4014,경기 용인시 기흥구 언남동 336-7,1.0,8.0
1381,마실더그린테이블,070-4120-1991,경기 용인시 기흥구 동백동 614-5 101호 마실,1.0,3.0
1382,구갈대박로또방,031-282-9988,경기 용인시 기흥구 구갈동 345-9 101호,,9.0
1383,황금 슈퍼,031-274-1818,경기 용인시 기흥구 상하동 483-1 어정프라자 103호,3.0,9.0
1384,로또휴게실,031-286-3442,경기 용인시 기흥구 상갈동 378-1,15.0,58.0
1385,대영광고,031-261-9565,경기 용인시 수지구 동천동 180-12번지,,4.0
1386,희망을주는사람,031-338-5933,경기 용인시 처인구 양지면 제일리 474-3번지,2.0,2.0
1387,로또복권방,031-323-1385,경기 용인시 처인구 김량장동 162-4,5.0,7.0
1388,수지맞은집,031-284-0748,"경기 용인시 기흥구 공세동 260-1 기흥휴게소, 부산방향 쇼핑몰2층",,2.0
1389,광성슈퍼,031-633-5829,경기 이천시 단월동 509-4,5.0,10.0
1390,대성미니슈퍼,031-641-2430,경기 이천시 장호원읍 장호원리 112-3,1.0,4.0
1391,장원급제로또복권방,031-642-7100,경기 이천시 장호원읍 진암리 7-3,,4.0
1392,행운로또복권방,031-947-0901,경기 파주시 광탄면 신산리 215-20번지,1.0,11.0
1393,로또나라,,경기 파주시 문발동 495-138번지,1.0,16.0
1394,로또복권방,031-945-2695,경기 파주시 금촌동 386-4 1층,2.0,7.0
1395,로또복권방,031-947-5534,경기 파주시 금촌1동 932-1 1층,1.0,11.0
1396,대박복권방,031-953-8926,경기 파주시 문산읍 문산리 13-7번지,1.0,10.0
1397,승리복권방,031-959-0243,경기 파주시 적성면 마지리 63-47번지,1.0,4.0
1398,노다지복권방,031-958-7136,경기 파주시 법원읍 법원리 683-6번지,1.0,8.0
1399,로또.토토.블루베리,031-683-6542,경기 평택시 안중읍 현화리 854-1 105호,1.0,10.0
1400,복권명당,,경기 평택시 서정동 1106-4 만민교회 1층,,10.0
1401,부자되세요복권방,031-668-9669,경기 평택시 진위면 하북리 147-1,1.0,10.0
1402,럭키디엔씨,031-964-3100,경기 고양시 덕양구 고양동 719 푸른마을3단지상가동106,,8.0
1403,대박복권,031-915-4873,경기 고양시 일산서구 대화동 2241번지,,4.0
1404,1등로또방,031-906-8131,경기 고양시 일산동구 1297-2,,9.0
1405,행운편의점 복권방,031-977-5776,경기 고양시 일산동구 풍산동 421-4,,9.0
1406,로또판매점,031-902-4561,경기 고양시 일산동구 장항동 759번지 하임빌101호,,5.0
1407,해피복권방,031-975-1877,경기 고양시 일산동구 성석동 1246-80번지,1.0,2.0
1408,복권나라,031-311-8934,경기 시흥시 신천동 771-4번지,,7.0
1409,복권마을,031-311-7625,경기 시흥시 신천동 750-4 101호,,4.0
1410,도일복권방,031-492-4868,경기 시흥시 거모동 1658-22번지,,2.0
1411,복권방,032-344-0498,경기 부천시 소사구 괴안동 109-8번지,,4.0
1412,해피데이복권방,032-343-2063,경기 부천시 소사구 괴안동 40-13번지 1층동향좌측1호,,7.0
1413,복권나라,031-557-5759,경기 남양주시 다산1동 45-67번지,,10.0
1414,왕대박복권방,031-593-5572,경기 남양주시 화도읍 마석우리 379-1번지 103호,,1.0
1415,행운복권,031-795-5536,경기 하남시 풍산동 493 R110호,,2.0
1416,종합복권나라,031-774-7950,경기 양평군 양평읍 양근리 176-14 1층,1.0,9.0
1417,복권나라,031-774-8920,경기 양평군 양평읍 양근리 342-2 1층,,5.0
1418,복권나라,031-251-9332,경기 수원시 장안구 534-4 1층,,9.0
1419,행운복권방,,경기 수원시 권선구 구운동 493-16 103호,2.0,7.0
1420,운수대통,031-298-5888,경기 수원시 권선구 호매실동 87-2,4.0,12.0
1421,경민복권방,031-241-3844,경기 수원시 팔달구 북수동 225,1.0,1.0
1422,좋은이웃들,031-395-2844,경기 군포시 산본동 82-3,1.0,4.0
1423,해피마트,031-461-8493,경기 의왕시 삼동 471-67 의왕역로터리앞,2.0,13.0
1424,운수대통,031-395-4131,경기 군포시 산본동 265-20,2.0,3.0
1425,복권만당,031-392-0678,경기 군포시 당동 785-8,,11.0
1426,노다지복권방,031-954-1888,경기 파주시 문산읍 문산리 6-28,2.0,9.0
1427,복권백화점,031-943-7477,경기 파주시 금촌동 329-135번지,6.0,24.0
1428,천하명당복권방,031-468-2494,경기 안양시 만안구 안양동 194번지,,2.0
1429,황금복권방,031-448-0092,경기 안양시 만안구 안양동 598-19번지,1.0,
1430,그린캐슬,031-407-8939,"경기 안산시 상록구 사이동 1424-8 102호, 103호",,3.0
1431,행운슈퍼(복권),031-408-2212,경기 안산시 상록구 본오동 1118-9,,1.0
1432,복권나라,031-491-1211,경기 안산시 단원구 원곡동 801-4번지,1.0,2.0
1433,천하명당,031-487-2122,경기 안산시 상록구 월피동 442번지,1.0,13.0
1434,복권슈퍼,031-492-8434,경기 안산시 단원구 선부동 983-4,,4.0
1435,주택복권방,031-429-8281,경기 안양시 동안구 호계1동 986-25 77,2.0,3.0
1436,스타매니아,031-384-0333,경기 안양시 동안구 비산동 1026-14번지,,10.0
1437,복권세계,031-848-3390,경기 의정부시 의정부동 17-2번지 1층,,7.0
1438,복권닷컴,031-845-7770,경기 의정부시 의정부동 145-17번지,,1.0
1439,대명로또편의점,031-863-3172,경기 동두천시 중앙동 657-1,,7.0
1440,이플러스,031-217-3005,경기 수원시 영통구 153-14,3.0,10.0
1441,복권천국,032-673-8722,경기 부천시 성곡동 318,1.0,8.0
1442,씨지랜드,032-325-5151,경기 부천시 상동 412번지 금강리빙스텔111,1.0,7.0
1443,대부,032-324-5982,경기 부천시 부천동 110-10 1층,,4.0
1444,행운복권,031-237-1937,경기 수원시 권선구 권선동 1166-4,1.0,4.0
1445,노다지복권방,031-374-1002,경기 오산시 오산동 371-1번지,3.0,20.0
1446,명당일세,031-655-2979,경기 평택시 평택동 71-6,,
1447,노다지복권방서정지점,031-666-2821,경기 평택시 서정동 335-27번지,3.0,5.0
1448,행복충전소,031-664-1210,경기 평택시 지산동 755-1,8.0,19.0
1449,미양공단점,070-7793-9748,경기 안성시 미양면 계륵리 271-9번지 102호,,4.0
1450,명동슈퍼,02-2615-3382,경기 광명시 철산동 426번지,2.0,8.0
1451,가연이네슈퍼,031-758-3148,경기 성남시 중원구 성남동 3968,,2.0
1452,플러스,031-721-6808,경기 성남시 중원구 성남동 3164번지,1.0,4.0
1453,화영하이퍼,031-747-5995,경기 성남시 수정구 단대동 176-4번지,1.0,1.0
1454,오복슈퍼,031-745-4989,경기 성남시 중원구 금광동 2880번지,1.0,2.0
1455,엄마손슈퍼(행운복권방),031-752-3733,경기 성남시 수정구 태평동 3307-7번지,,4.0
1456,다우로또,031-757-9070,경기 성남시 수정구 태평동 3196 1층,,1.0
1457,한솔마트,031-713-8182,경기 성남시 분당구 정자동 101번지 한솔주공7단지상가내,,2.0
1458,코코블루,031-709-4895,경기 성남시 분당구 서현동 248-5번지 코코프라자지하2호,2.0,7.0
1459,싼타슈퍼,031-433-3667,경기 시흥시 정왕동 1212-13,,6.0
1460,그린하이퍼,070-8187-9177,경기 시흥시 월곶동 1006-4 유호플러스빌105호,1.0,5.0
1461,아름다운슈퍼,031-491-5987,경기 시흥시 거모동 1753-7,1.0,8.0
1462,오이도직판장마트,031-431-4454,경기 시흥시 정왕동 2003-8번지 오이도이주단지B,,7.0
1463,25시슈퍼,031-432-6273,경기 시흥시 정왕동 1882-11번지 홍익프라자1층107호,5.0,12.0
1464,메가마트,031-498-7224,경기 시흥시 정왕동 1861-3번지 메가쇼핑몰1층123호,,3.0
1465,돼지네슈퍼,032-347-5889,경기 부천시 소사구 소사본동 231-4번지,1.0,8.0
1466,태봉,032-346-6021,경기 부천시 소사구 소사본동 184-7번지,1.0,6.0
1467,마리오슈퍼,032-667-5368,경기 부천시 상동 535-1 1층 118호,3.0,7.0
1468,코사마트춘성점,032-664-6649,경기 부천시 소사구 송내동 374번지 호암프라자104호,,6.0
1469,경춘마트,031-592-7742,경기 남양주시 금곡동 154-9번지,,3.0
1470,스카이25,031-566-3761,경기 남양주시 도농동 296-2번지,1.0,5.0
1471,캠프코리아/유마트,031-577-1539,경기 남양주시 와부읍 덕소리 193-9번지 새루상가10호,,4.0
1472,24시편의점,031-591-0449,경기 남양주시 평내동 121-10번지,,1.0
1473,로또마트,031-794-6668,경기 하남시 풍산동 565 미사강변 아란티움 상가 내,,
1474,훼밀리슈퍼,031-556-4784,경기 구리시 인창동 672-4번지 세신훼밀리타운102,1.0,8.0
1475,세븐일레븐 구리으뜸점,031-562-2500,경기 구리시 교문1동 227-21,1.0,4.0
1476,세븐일레븐구리한성점,031-565-0470,경기 구리시 교문동 766-1번지 한성1차아파트상가102호,,3.0
1477,오에스티(O.S.T),031-566-1894,경기 구리시 수택동 383-10번지,,1.0
1478,주공슈퍼,031-902-7611,경기 고양시 일산동구 백석동 1343번지 주공아파트단지상가,2.0,6.0
1479,이전유통,031-905-8288,경기 고양시 일산동구 백석동 1418-9번지 1층,,3.0
1480,현대화체인점,031-255-2956,경기 수원시 장안구 정자동 46-2,1.0,9.0
1481,선일복권방,031-251-0400,경기 수원시 팔달구 화서동 71-13,,1.0
1482,계경슈퍼,031-245-5969,경기 수원시 장안구 영화동 422-43,,1.0
1483,월드컵,031-256-6883,경기 수원시 팔달구 우만동 519-3,3.0,4.0
1484,매향슈퍼,031-258-3338,경기 수원시 팔달구 남수동 16-19,1.0,1.0
1485,흥일슈퍼,031-975-2858,경기 고양시 일산서구 일산동 640-28번지,,1.0
1486,이전유통(탄현역),031-924-4965,경기 고양시 일산서구 덕이동 274-16번지,,3.0
1487,두배로마트덕이점,031-919-7031,경기 고양시 일산서구 덕이동 992-1번지 삼호빌딩1층,1.0,6.0
1488,나눔로또 스포츠토토(김포장기점),031-987-7089,경기 김포시 장기동 1399 1층 110호,2.0,2.0
1489,차부상회,031-988-0204,경기 김포시 통진읍 서암리 717-6번지,3.0,10.0
1490,대광슈퍼,031-391-6647,경기 군포시 산본동 1061-3 미성프라자106호,3.0,10.0
1491,명진슈퍼,031-452-8813,경기 의왕시 고천동 295-26,3.0,7.0
1492,J마트,031-468-7373,경기 안양시 만안구 안양동 504-22,,3.0
1493,김포마트로또방,031-409-6069,경기 안산시 상록구 본오동 923-2,,7.0
1494,각골할인마트,031-501-4420,경기 안산시 상록구 본오동 829-9번지,2.0,7.0
1495,로또복권판매점,031-406-2244,경기 안산시 상록구 일동 90번지,1.0,1.0
1496,여우와솜사탕,031-406-8969,경기 안산시 상록구 부곡동 692-3번지,,5.0
1497,센타슈퍼,031-409-7971,경기 안산시 상록구 이동 715-4 센타프라자115호,1.0,5.0
1498,고층슈퍼,031-482-5111,경기 안산시 상록구 성포동 588-2 주공상가105호,,1.0
1499,터미널유통마트,031-877-9282,경기 의정부시 신곡동 719-4번지 우신프라자1층101호,,11.0
1500,터미널식품,031-845-3983,경기 의정부시 금오동 369-5번지,3.0,8.0
1501,역전슈퍼,031-876-5617,경기 의정부시 의정부동 407-7번지,1.0,1.0
1502,씨스페이스의정부신곡점,,경기 의정부시 신곡1동 597-110,,4.0
1503,금성24시편의점,031-858-0859,경기 양주시 덕정동 350-86,1.0,4.0
1504,복권세상,031-873-7761,경기 의정부시 호원2동 366-25,2.0,1.0
1505,매탄동슈퍼,031-211-2966,경기 수원시 영통구 매탄동 111-1,1.0,6.0
1506,미니슈퍼,031-273-4242,경기 수원시 영통구 영통동 1024-7 영통빌딩108호,,4.0
1507,한아름복권방(매탄점),031-238-4791,경기 수원시 영통구 매탄동 1174,1.0,8.0
1508,행복미니슈퍼,032-654-6510,경기 부천시 원미구 심곡동 351-3번지,4.0,4.0
1509,한국슈퍼,032-682-2902,경기 부천시 오정구 원종동 228번지 한울빌리지 상가101호,,5.0
1510,풍전슈퍼,032-664-8909,경기 부천시 원미구 원미동 55-1번지,4.0,12.0
1511,장군슈퍼,032-672-5256,경기 부천시 오정동 70-8번지,3.0,8.0
1512,디딤슈퍼,032-675-6098,경기 부천시 원미구 도당동 164-20번지,1.0,17.0
1513,성진마트,032-678-3224,경기 부천시 오정구 내동 150번지,1.0,5.0
1514,후레쉬슈퍼,032-654-3551,경기 부천시 심곡동 120-22 101호,,5.0
1515,코사마트,032-683-8870,경기 부천시 오정구 내동 99-2번지,2.0,6.0
1516,도담복권,032-675-9695,경기 부천시 성곡동 480-9 1층,,2.0
1517,역곡중앙슈퍼,032-343-4990,경기 부천시 원미구 역곡동 79-5번지,2.0,14.0
1518,쌍굴다리슈퍼,,경기 부천시 원미구 춘의동 210-1번지,1.0,2.0
1519,L-마트,032-621-1140,경기 부천시 오정구 삼정동 364번지 부천테크노파크100-103,3.0,12.0
1520,예스마트중동점,032-653-5809,경기 부천시 원미구 중동 726번지,,
1521,터미널편의점1층,031-267-7744,경기 수원시 권선구 권선동 1189 수원복합터미널1301호,2.0,11.0
1522,안성맞춤,031-675-2266,경기 안성시 금산동 47,3.0,11.0
1523,포유25다농점,031-375-2468,경기 오산시 오산동 924-1번지 거성그린프라자114호,2.0,21.0
1524,복권판매,031-735-3006,경기 성남시 중원구 성남동 2612,,1.0
1525,OK편의점,031-635-0355,경기 이천시 중리동 201,1.0,9.0
1526,프리웨이스토어,031-763-5369,경기 광주시 장지동 533번지 1층,2.0,17.0
1527,로또복권 씨유 신구대점,031-742-0665,경기 성남시 중원구 금광동 2401번지,,4.0
1528,코사마트 후곡점,031-976-3940,"경기 고양시 일산서구 일산동 1101 105,106호",1.0,4.0
1529,현대25시편의점,031-970-0377,경기 고양시 덕양구 토당동 373-1번지 101호,1.0,3.0
1530,복권방,031-972-5078,경기 고양시 덕양구 동산동 373 1층,2.0,1.0
1531,원흥로또 앤 픽미아이스,031-968-3441,경기 고양시 덕양구 흥도동 629-1,,9.0
1532,굳프렌즈일산현대-24시편의점,031-977-3905,경기 고양시 일산서구 일산동 586-16번지 1층,1.0,7.0
1533,1004로또점,,경기 고양시 일산동구 중산동 1666-1 104호 미니스톱 내,,3.0
1534,스카이편의점,031-444-9629,경기 안양시 만안구 박달동 74-5번지,2.0,5.0
1535,광장편의점,031-829-2989,경기 의정부시 의정부동 487번지,,7.0
1536,행운복권,031-877-8308,경기 의정부시 호원1동 428 상가동 110호,1.0,7.0
1537,부부마트,032-673-0944,경기 부천시 오정구 내동 373번지 장미빌라상가103,,1.0
1538,플러스원(복권방),031-374-3157,경기 오산시 대원동 762-34번지,,3.0
1539,가판대,031-735-5098,경기 성남시 수정구 양지동 211,1.0,8.0
1540,3번출구가판점,031-722-4638,경기 성남시 수정구 수진동 2965번지,1.0,8.0
1541,애리지,031-781-4557,경기 성남시 분당구 야탑1동 353-1,1.0,4.0
1542,버스가판대,031-758-1576,경기 성남시 중원구 성남동 3495번지,1.0,13.0
1543,농협가판,031-758-9535,경기 성남시 수정구 수진동 18,2.0,2.0
1544,가판점,031-735-4422,경기 성남시 수정구 신흥동 4186번지,,3.0
1545,국민가판점,031-731-8977,경기 성남시 수정구 신흥동 2480번지,,3.0
1546,가두판매 단대오거리점,031-747-4951,경기 성남시 중원구 중앙동 2460-1번지,,4.0
1547,태평가판점,031-754-9764,경기 성남시 수정구 태평동 6454번지,,
1548,태평고개 가판대,031-752-7335,경기 성남시 수정구 태평동 5211,,5.0
1549,가판점,031-751-7429,경기 성남시 수정구 신흥동 5505,1.0,6.0
1550,구시청가판점,031-754-3336,경기 성남시 수정구 태평동 7288-16번지,,5.0
1551,태평매표소,031-282-4864,경기 용인시 기흥구 신갈동 464-17번지,,2.0
1552,신천가판점,031-311-6585,경기 시흥시 신천동 712-10번지,,6.0
1553,사격장매표소,031-313-3381,경기 시흥시 은행동 37-22,1.0,6.0
1554,신문가판,032-662-6377,경기 부천시 심곡본동 746-27번지,,3.0
1555,가판점,032-663-9602,경기 부천시 대산동 543 이마트앞 지하도입구,1.0,12.0
1556,역곡역전로또,032-344-8851,경기 부천시 괴안동 114-5 가판대,1.0,7.0
1557,금곡가판,031-592-7280,경기 남양주시 금곡동 153-1,,2.0
1558,토큰박스,031-573-8634,경기 남양주시 진건읍 용정리 743-6번지,1.0,2.0
1559,토큰박스,031-563-2643,경기 구리시 수택동 370-6 kt 앞 가판,,3.0
1560,주엽역 로또판매점,031-914-8980,경기 고양시 일산서구 주엽동 109 도로,2.0,11.0
1561,버스표판매소,031-978-1143,경기 고양시 덕양구 행신동 973 971번지선,2.0,7.0
1562,대박복권판매점,031-972-4890,경기 고양시 덕양구 행신2동 707-3 107호,,1.0
1563,마두역상행선 가판대,031-907-2207,경기 고양시 일산동구 장항동 893 마두역상행선가판대,8.0,21.0
1564,교통카드충전소,031-978-0261,경기 고양시 덕양구 화정동 1098번지 화정역 2번출구,5.0,21.0
1565,일주일행복로또(파장매표소),031-253-7410,경기 수원시 장안구 파장동 572-39,,4.0
1566,수일매표소,031-242-7196,경기 수원시 장안구 송죽동 445-1,1.0,
1567,서문복권판매소,031-247-1161,경기 수원시 팔달구 화서동 32-11 도로,,2.0
1568,로또명당매표소,031-212-3673,경기 수원시 팔달구 우만동 85-1,1.0,2.0
1569,버스표가두판매점,031-215-6313,경기 수원시 팔달구 우만동 146-2번지,1.0,1.0
1570,복권판매소,031-243-2150,"경기 수원시 팔달구 우만동 300 우만3,4단지앞",,6.0
1571,황금로또방(북문전화국앞),031-246-2520,경기 수원시 장안구 영화동 305-5,,2.0
1572,화정동롯데마트앞가판점,031-978-3158,경기 고양시 덕양구 화정동 982번지 롯데마트앞가판점,,1.0
1573,가판점,031-451-2293,경기 군포시 당동 835-60,,2.0
1574,가판점,031-455-1574,경기 군포시 당동 745-9 전면보도,1.0,7.0
1575,시내버스가판점,031-423-8566,경기 안양시 동안구 관양동 1459-5번지,,
1576,버스표가판점,031-388-6327,경기 안양시 동안구 관양1동 1384-25번지,1.0,7.0
1577,인덕원가판점,031-423-3332,경기 안양시 동안구 관양동 1488-5,3.0,4.0
1578,가두판매점,031-442-8350,경기 안양시 만안구 안양동 689-180번지,2.0,5.0
1579,로또명당가두판매점,031-388-4427,경기 안양시 동안구 비산동 1144번지,5.0,35.0
1580,버스가판점,031-468-8497,경기 안양시 만안구 안양동 517-14 517-15번지 공터와 겹침,,2.0
1581,버스표가판점,031-384-2165,경기 안양시 동안구 호계동 1039-2번지,4.0,22.0
1582,버스가판점,031-466-8414,경기 안양시 만안구 안양동 164-1 진흥아파트앞 버스정류장,1.0,5.0
1583,시내버스가판점,031-466-0309,경기 안양시 만안구 안양동 836-18,,1.0
1584,버스표가판점,031-448-9615,경기 안양시 만안구 안양동 847-16번지,,4.0
1585,버스표가판점,031-421-6455,경기 안양시 동안구 관양동 1507-23번지,1.0,5.0
1586,교보생명가두판매점,031-443-9930,경기 안양시 만안구 안양동 695-207번지,,1.0
1587,버스표판매소,031-845-1816,경기 의정부시 의정부동 222-1번지,1.0,3.0
1588,복권,031-844-4464,경기 의정부시 의정부1동 148-10,,4.0
1589,복권,031-844-5006,경기 의정부시 의정부동 177-9,1.0,5.0
1590,버스표판매소,031-221-8727,경기 수원시 팔달구 인계동 1125-2 벽산그랜드코아아파트앞,,3.0
1591,매표소,031-247-7932,경기 수원시 팔달구 팔달로2가 67-3,1.0,3.0
1592,신나무실매표소,031-205-0240,경기 수원시 영통구 영통동 965-2 신원미주아파트앞가판,,3.0
1593,영통매표소,031-202-3010,경기 수원시 영통구 영통동 1048-2 청명역3번출구 매표소,2.0,4.0
1594,가두판매점,031-205-2660,경기 수원시 영통구 영통동 976-11 망포역8번출구 앞,,1.0
1595,남문가판점,031-252-6705,경기 수원시 팔달구 행궁동 24-9,,2.0
1596,행복한나그네매표소,032-325-8826,경기 부천시 중동 1054 경기 부천시 중동 1054-1,,2.0
1597,가판대,032-665-9655,경기 부천시 원미구 상동 318-5번지,1.0,3.0
1598,매표소,032-681-0447,경기 부천시 부천동 255-2번지 도로부지,1.0,2.0
1599,버스매표소,032-656-6778,경기 부천시 원미구 심곡동 78-1번지,,1.0
1600,가판점,032-663-0945,경기 부천시 심곡동 176-13번지 국민은행버스정류장 옆 가판,3.0,8.0
1601,로또세계주류,02-2066-3561,경기 광명시 철산4동 464-7,,2.0
1602,해피데이,031-735-9038,경기 성남시 중원구 중앙동 2009-1번지,1.0,1.0
1603,으뜸과버금신흥점,031-753-5882,경기 성남시 수정구 신흥동 6526번지,,1.0
1604,죽전열쇠 로또복권방,031-263-1230,경기 용인시 수지구 죽전동 468-5 신흥빌딩101,1.0,7.0
1605,삼일사,031-746-1304,경기 성남시 중원구 상대원동 2980-19번지,,5.0
1606,행운복권방,031-404-9060,경기 시흥시 대야동 545-1번지 트윈프라자B동114호,,7.0
1607,매화정보통신,031-316-1308,경기 시흥시 매화동 199-1번지,,4.0
1608,드림테크,,경기 부천시 괴안동 28-2번지 기풍빌딩 107호,1.0,3.0
1609,대박나라베팅숍,032-651-6356,경기 부천시 소사구 송내동 450-8번지,1.0,7.0
1610,예스복권방,031-575-5883,경기 남양주시 별내동 1016 메인프라자 1층 105호,,13.0
1611,삐삐문구,031-573-8244,경기 남양주시 진건읍 용정리 794-14번지,,1.0
1612,디즈니포토랜드,031-511-5417,"경기 남양주시 호평동 612 상가 117호, GS25호평아이파크점",1.0,1.0
1613,팬시코아,031-574-9810,경기 남양주시 퇴계원면 퇴계원리 255-24번지,,11.0
1614,만물전파사,031-593-0362,경기 남양주시 화도읍 마석우리 271-8번지,1.0,8.0
1615,코니아일랜드아이스크림,031-511-9187,경기 남양주시 화도읍 묵현리 372-47번지 진우로얄빌라제나동102,1.0,4.0
1616,태원통신,031-794-4318,경기 하남시 덕풍동 309-63번지,1.0,5.0
1617,재우텔레콤,031-793-8016,경기 하남시 신장동 427-29번지,2.0,3.0
1618,삼일통신,031-553-1018,경기 구리시 인창동 498-5번지,,6.0
1619,화인,031-551-3451,경기 구리시 수택동 463-10번지,,4.0
1620,진칼라,031-553-6433,경기 구리시 교문1동 738-7번지,,4.0
